"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Statut"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Langue"	"Dernier achat/vente"	"Dern. trans."	"Début de gestion"	"Date de fermeture"	"Création"	"Marge"	"Valeur totale"	"Nom"
"800078-OB"	"A - Comptant"	""	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"USD"	"Ouvert"	""	"BABCOCK JANSEN"	""	"800078"	"Français"	""	"2008/11/26"	""	""	"2009/12/01"	"n/d"	"0,00"	"JANSEN BABCOCK"
"800087-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4064"	"(450) 555-0850"	"2 688,39"	"CAD"	"Ouvert"	""	"JOAN MCDOWALL"	""	"800087"	"Anglais"	"2010/01/12"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"67 352,22"	"JOAN CAYLEY"
"800087-LV"	"N -"	""	"(450) 555-4064"	"(450) 555-0850"	"0,00"	"CAD"	"Ouvert"	""	"JOAN MCDOWALL"	""	"800087"	"Anglais"	""	"2009/06/30"	""	""	"2009/12/01"	"n/d"	"0,00"	"JOAN CAYLEY"
"800087-NA"	"A - Comptant"	""	"(450) 555-4064"	"(450) 555-0850"	"2 942,13"	"CAD"	"Ouvert"	""	"JOAN MCDOWALL"	""	"800087"	"Anglais"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"36 158,45"	"JOAN CAYLEY"
"800087-RE"	"E - Marge couvert"	""	"(450) 555-4064"	"(450) 555-0850"	"6 779,47"	"CAD"	"Ouvert"	""	"JOAN MCDOWALL"	""	"800087"	"Anglais"	"2010/01/12"	"2010/01/15"	""	""	"2009/12/01"	"0,00"	"277 564,61"	"JOAN CAYLEY"
"800048-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-5398"	"(450) 555-5398"	"35 612,52"	"CAD"	"Ouvert"	""	"ALOURDES KADOTA"	""	"800048"	"Français"	"2010/01/14"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"275 503,91"	"KADOTA ALOURDES"
"800048-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5398"	"(450) 555-5398"	"0,00"	"CAD"	"Ouvert"	""	"ALOURDES KADOTA"	""	"800048"	"Français"	"2010/01/08"	"2010/01/08"	""	""	"2009/12/01"	"n/d"	"10 954,25"	"KADOTA ALOURDES"
"800048-NA"	"A - Comptant"	""	"(450) 555-5398"	"(450) 555-5398"	"(464,60)"	"CAD"	"Ouvert"	""	"ALOURDES KADOTA"	""	"800048"	"Français"	"2010/01/15"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"268 971,85"	"KADOTA ALOURDES"
"800077-NA"	"A - Comptant"	""	"(450) 555-6516"	"(450) 555-7029"	"0,00"	"CAD"	"Ouvert"	""	"MCKENZIE KING"	""	"800077"	"Français"	""	"2003/12/05"	""	""	"2009/12/01"	"n/d"	"0,00"	"KING MCKENZIE"
"800077-RE"	"E - Marge couvert"	""	"(450) 555-6516"	"(450) 555-7029"	"5 903,59"	"CAD"	"Ouvert"	""	"MCKENZIE KING"	""	"800077"	"Français"	"2009/12/18"	"2010/01/04"	""	""	"2009/12/01"	"0,00"	"113 162,96"	"KING MCKENZIE"
"800077-SF"	"E - Marge couvert"	""	"(450) 555-6516"	"(450) 555-7029"	"890,97"	"USD"	"Ouvert"	""	"MCKENZIE KING"	""	"800077"	"Français"	"2009/12/18"	"2010/01/06"	""	""	"2009/12/01"	"0,00"	"53 713,37"	"KING MCKENZIE"
"800260-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1222"	"(450) 555-2627"	"0,53"	"CAD"	"Ouvert"	""	"CHARTRAND KINOSHITA"	""	"800260"	"Anglais"	""	"2009/12/01"	""	""	"2009/12/01"	"n/d"	"467 411,55"	"KINOSHITA CHARTR"
"800260-RE"	"E - Marge couvert"	""	"(450) 555-1222"	"(450) 555-2627"	"562,29"	"CAD"	"Ouvert"	""	"CHARTRAND KINOSHITA"	""	"800260"	"Anglais"	""	"2010/01/15"	""	""	"2009/12/01"	"0,00"	"192 483,52"	"KINOSHITA CHARTR"
"800079-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-5954"	"(450) 555-2795"	"1 185,97"	"CAD"	"Ouvert"	""	"AILLEEN KLINGMAN"	""	"800079"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"155 343,14"	"KLINGMAN AILLEEN"
"800079-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5954"	"(450) 555-2795"	"135,00"	"CAD"	"Ouvert"	""	"AILLEEN KLINGMAN"	""	"800079"	"Français"	""	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"10 228,91"	"KLINGMAN AILLEEN"
"800079-NA"	"A - Comptant"	""	"(450) 555-5954"	"(450) 555-2795"	"642,14"	"CAD"	"Ouvert"	""	"AILLEEN KLINGMAN"	""	"800079"	"Français"	"2010/01/05"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"659 254,04"	"KLINGMAN AILLEEN"
"800234-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-1766"	"(450) 555-1473"	"0,00"	"CAD"	"Ouvert"	""	"AMEDEE KNIGHT"	""	"800234"	"Français"	""	"2005/04/25"	""	""	"2009/12/01"	"0,00"	"0,00"	"KNIGHT AMEDEE"
"800234-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1766"	"(450) 555-1473"	"10 563,48"	"CAD"	"Ouvert"	""	"AMEDEE KNIGHT"	""	"800234"	"Français"	"2010/01/13"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"338 792,42"	"KNIGHT AMEDEE"
"800234-RE"	"E - Marge couvert"	""	"(450) 555-1766"	"(450) 555-1473"	"2 431,11"	"CAD"	"Ouvert"	""	"AMEDEE KNIGHT"	""	"800234"	"Français"	"2009/12/23"	"2010/01/20"	""	""	"2009/12/01"	"0,00"	"322 541,00"	"KNIGHT AMEDEE"
"800234-SF"	"E - Marge couvert"	""	"(450) 555-1766"	"(450) 555-1473"	"0,00"	"USD"	"Ouvert"	""	"AMEDEE KNIGHT"	""	"800234"	"Français"	""	"2005/10/13"	""	""	"2009/12/01"	"0,00"	"0,00"	"KNIGHT AMEDEE"
"800042-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	"Ouvert"	""	"BUBSIE KRABSEN"	""	"800042"	"Anglais"	""	"2009/06/10"	""	""	"2009/12/01"	"n/d"	"0,00"	"KRABSEN BUBSIE"
"800042-NA"	"A - Comptant"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	"Ouvert"	""	"BUBSIE KRABSEN"	""	"800042"	"Anglais"	""	"2009/07/29"	""	""	"2009/12/01"	"n/d"	"0,00"	"KRABSEN BUBSIE"
"800042-OB"	"A - Comptant"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"USD"	"Ouvert"	""	"BUBSIE KRABSEN"	""	"800042"	"Anglais"	""	"2009/05/11"	""	""	"2009/12/01"	"n/d"	"0,00"	"KRABSEN BUBSIE"
"800014-RE"	"E - Marge couvert"	""	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"CAD"	"Ouvert"	""	"BABE KROEGER"	""	"800014"	"Français"	""	"2006/06/05"	""	""	"2009/12/01"	"0,00"	"0,00"	"KROEGER BABE"
"800014-SF"	"E - Marge couvert"	""	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"USD"	"Ouvert"	""	"BABE KROEGER"	""	"800014"	"Français"	""	"2006/05/03"	""	""	"2009/12/01"	"0,00"	"0,00"	"KROEGER BABE"
"800272-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-4522"	"(450) 555-5815"	"0,00"	"CAD"	"Ouvert"	""	"BLAKE LAFERRIERE"	""	"800272"	"Français"	""	"2005/03/28"	""	""	"2009/12/01"	"0,00"	"0,00"	"LAFERRIERE BLAKE"
"800272-ER"	"V - Régime d'épargne-études"	""	"(450) 555-4522"	"(450) 555-5815"	"0,00"	"CAD"	"Ouvert"	""	"BLAKE LAFERRIERE"	""	"800272"	"Français"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"LAFERRIERE BLAKE"
"800272-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4522"	"(450) 555-5815"	"13 843,40"	"CAD"	"Ouvert"	""	"BLAKE LAFERRIERE"	""	"800272"	"Français"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"452 114,89"	"LAFERRIERE BLAKE"
"800272-RE"	"E - Marge couvert"	""	"(450) 555-4522"	"(450) 555-5815"	"14 124,03"	"CAD"	"Ouvert"	""	"BLAKE LAFERRIERE"	""	"800272"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"0,00"	"298 974,15"	"LAFERRIERE BLAKE"
"800272-SF"	"E - Marge couvert"	""	"(450) 555-4522"	"(450) 555-5815"	"0,00"	"USD"	"Ouvert"	""	"BLAKE LAFERRIERE"	""	"800272"	"Français"	""	""	""	""	"2009/12/01"	"0,00"	"0,00"	"LAFERRIERE BLAKE"
"800013-NA"	"A - Comptant"	""	"(450) 555-2336"	"(450) 555-7096"	"31 174,81"	"USD"	"Ouvert"	""	"BERNARDIN LANDRY"	""	"800013"	"Français"	"2010/01/20"	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"986 518,02"	"LANDRY BERNARDIN"
"800013-OB"	"A - Comptant"	""	"(450) 555-2336"	"(450) 555-7096"	"55 541,99"	"CAD"	"Ouvert"	""	"BERNARDIN LANDRY"	""	"800013"	"Français"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"903 964,93"	"LANDRY BERNARDIN"
"800218-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-6452"	"(450) 555-5224"	"274,87"	"CAD"	"Ouvert"	""	"BERNICE LAPICO"	""	"800218"	"Français"	""	"2009/12/03"	""	""	"2009/12/01"	"n/d"	"90 454,19"	"LAPICO BERNICE"
"800218-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-6452"	"(450) 555-5224"	"98,08"	"CAD"	"Ouvert"	""	"BERNICE LAPICO"	""	"800218"	"Français"	""	"2010/01/12"	""	""	"2009/12/01"	"n/d"	"10 062,06"	"LAPICO BERNICE"
"800218-NA"	"A - Comptant"	""	"(450) 555-6452"	"(450) 555-5224"	"235,18"	"CAD"	"Ouvert"	""	"BERNICE LAPICO"	""	"800218"	"Français"	"2010/01/06"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"301 280,56"	"LAPICO BERNICE"
"800050-BO"	"C - Paiement sur livraison"	""	"(450) 555-6989"	"(450) 555-8616"	"0,00"	"USD"	"Ouvert"	""	"AIDAN LAWLEY"	""	"800050"	"Français"	""	"2008/10/08"	""	""	"2009/12/01"	"n/d"	"0,00"	"LAWLEY AIDAN"
"800037-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2241"	"(450) 555-5351"	"6 984,22"	"CAD"	"Ouvert"	""	"ALUN LESTRAT"	""	"800037"	"Anglais"	"2010/01/06"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"396 555,84"	"LESTRAT ALUN"
"800037-NA"	"A - Comptant"	""	"(450) 555-2241"	"(450) 555-5351"	"4 022,63"	"CAD"	"Ouvert"	""	"ALUN LESTRAT"	""	"800037"	"Anglais"	"2009/11/27"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"354 401,03"	"LESTRAT ALUN"
"800247-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-6604"	"(450) 555-3152"	"863,10"	"CAD"	"Ouvert"	""	"ABBAYE LEVEILLEE"	""	"800247"	"Français"	"2010/01/20"	"2010/01/20"	""	""	"2009/12/01"	"n/d"	"611 359,03"	"LEVEILLEE ABBAYE"
"800247-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-6604"	"(450) 555-3152"	"4,05"	"CAD"	"Ouvert"	""	"ABBAYE LEVEILLEE"	""	"800247"	"Français"	""	"2009/03/16"	""	""	"2009/12/01"	"n/d"	"5 237,00"	"LEVEILLEE ABBAYE"
"800247-NA"	"A - Comptant"	""	"(450) 555-6604"	"(450) 555-3152"	"1 079,02"	"CAD"	"Ouvert"	""	"ABBAYE LEVEILLEE"	""	"800247"	"Français"	""	"2010/01/18"	""	""	"2009/12/01"	"n/d"	"84 740,43"	"LEVEILLEE ABBAYE"
"800018-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2486"	"(450) 555-6577"	"0,00"	"CAD"	"Ouvert"	""	"BRENNAN LOUIS"	""	"800018"	"Anglais"	""	"2010/01/06"	""	""	"2009/12/01"	"n/d"	"0,00"	"LOUIS BRENNAN"
"800018-MZ"	"O -"	""	"(450) 555-2486"	"(450) 555-6577"	"0,00"	"CAD"	"Ouvert"	""	"BRENNAN LOUIS"	""	"800018"	"Anglais"	""	"2004/03/30"	""	""	"2009/12/01"	"n/d"	"0,00"	"LOUIS BRENNAN"
"800052-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9363"	"(450) 555-9832"	"451,26"	"CAD"	"Ouvert"	""	"ALINE LYE"	""	"800052"	"Français"	"2009/12/08"	"2009/12/15"	""	""	"2009/12/01"	"n/d"	"363 657,77"	"LYE ALINE"
"800052-JJ"	"J -"	""	"(450) 555-9363"	"(450) 555-9832"	"0,00"	"CAD"	"Ouvert"	""	"ALINE LYE"	""	"800052"	"Français"	""	"2009/12/30"	""	""	"2009/12/01"	"n/d"	"0,00"	"LYE ALINE"
"800052-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-9363"	"(450) 555-9832"	"0,38"	"CAD"	"Ouvert"	""	"ALINE LYE"	""	"800052"	"Français"	""	"2009/02/05"	""	""	"2009/12/01"	"n/d"	"5 401,17"	"LYE ALINE"
"800052-NA"	"A - Comptant"	""	"(450) 555-9363"	"(450) 555-9832"	"3 467,32"	"CAD"	"Ouvert"	""	"ALINE LYE"	""	"800052"	"Français"	"2009/12/07"	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"217 453,65"	"LYE ALINE"
"800276-NA"	"A - Comptant"	""	"(450) 555-7542"	"(450) 555-3195"	"0,00"	"CAD"	"Ouvert"	""	"ALEX LYTLE"	""	"800276"	"Français"	""	"2002/11/18"	""	""	"2009/12/01"	"n/d"	"0,00"	"LYTLE ALEX"
"800071-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"(450) 555-0523"	"(450) 555-7723"	"1 768,44"	"CAD"	"Ouvert"	""	"CEDARS MACDONALD"	""	"800071"	"Français"	""	"2010/01/04"	""	""	"2009/12/01"	"n/d"	"108 893,79"	"MACDONALD CEDARS"
"800071-NA"	"A - Comptant"	""	"(450) 555-0523"	"(450) 555-7723"	"0,00"	"CAD"	"Ouvert"	""	"CEDARS MACDONALD"	""	"800071"	"Français"	""	"1999/03/01"	""	""	"2009/12/01"	"n/d"	"0,00"	"MACDONALD CEDARS"
"800069-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0843"	"(450) 555-8003"	"6 801,28"	"CAD"	"Ouvert"	""	"MATHIEU MAHEU"	""	"800069"	"Français"	"2009/12/18"	"2010/01/04"	""	""	"2009/12/01"	"n/d"	"81 641,86"	"MAHEU MATHIEU"
"800069-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0843"	"(450) 555-8003"	"0,00"	"CAD"	"Ouvert"	""	"MATHIEU MAHEU"	""	"800069"	"Français"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"MAHEU MATHIEU"
"800069-LV"	"N -"	""	"(450) 555-0843"	"(450) 555-8003"	"4 501,46"	"CAD"	"Ouvert"	""	"MATHIEU MAHEU"	""	"800069"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"79 491,27"	"MAHEU MATHIEU"
"800069-RE"	"E - Marge couvert"	""	"(450) 555-0843"	"(450) 555-8003"	"0,00"	"CAD"	"Ouvert"	""	"MATHIEU MAHEU"	""	"800069"	"Français"	""	"2002/03/01"	""	""	"2009/12/01"	"0,00"	"0,00"	"MAHEU MATHIEU"
"800038-NA"	"A - Comptant"	""	"(450) 555-7211"	"(450) 555-3571"	"0,00"	"CAD"	"Ouvert"	""	"ANGIOLINA MAINELLA"	""	"800038"	"Français"	"2010/01/11"	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"458 579,49"	"MAINELLA ANGIOLI"
"800020-ER"	"V - Régime d'épargne-études"	""	"(450) 555-3128"	"(450) 555-7332"	"0,00"	"CAD"	"Ouvert"	""	"ACACIA MAKRIS"	""	"800020"	"Anglais"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"MAKRIS ACACIA"
"800020-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-3128"	"(450) 555-7332"	"8 260,15"	"CAD"	"Ouvert"	""	"ACACIA MAKRIS"	""	"800020"	"Anglais"	"2010/01/22"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"1 481 044,83"	"MAKRIS ACACIA"
"800020-RE"	"E - Marge couvert"	""	"(450) 555-3128"	"(450) 555-7332"	"113 045,51"	"CAD"	"Ouvert"	""	"ACACIA MAKRIS"	""	"800020"	"Anglais"	"2010/01/15"	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"2 903 584,24"	"MAKRIS ACACIA"
"800020-SF"	"E - Marge couvert"	""	"(450) 555-3128"	"(450) 555-7332"	"0,00"	"USD"	"Ouvert"	""	"ACACIA MAKRIS"	""	"800020"	"Anglais"	""	"2007/09/28"	""	""	"2009/12/01"	"0,00"	"0,00"	"MAKRIS ACACIA"
"800020-VL"	"L -"	""	"(450) 555-3128"	"(450) 555-7332"	"0,00"	"CAD"	"Ouvert"	""	"ACACIA MAKRIS"	""	"800020"	"Anglais"	""	"2009/08/28"	""	""	"2009/12/01"	"n/d"	"0,00"	"MAKRIS ACACIA"
"800020-WJ"	"L -"	""	"(450) 555-3128"	"(450) 555-7332"	"0,00"	"USD"	"Ouvert"	""	"ACACIA MAKRIS"	""	"800020"	"Anglais"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"MAKRIS ACACIA"
"800229-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4364"	"(450) 555-5087"	"18 916,76"	"CAD"	"Ouvert"	""	"BALLANTYNE MALISKA"	""	"800229"	"Français"	"2010/01/05"	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"413 566,57"	"MALISKA BALLANTY"
"800229-NA"	"A - Comptant"	""	"(450) 555-4364"	"(450) 555-5087"	"10 826,06"	"CAD"	"Ouvert"	""	"BALLANTYNE MALISKA"	""	"800229"	"Français"	"2010/01/05"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"406 181,58"	"MALISKA BALLANTY"
"800009-NA"	"A - Comptant"	""	"(450) 555-8881"	"(450) 555-3223"	"0,00"	"CAD"	"Ouvert"	""	"CELINE MALITO"	""	"800009"	"Français"	""	"2003/10/29"	""	""	"2009/12/01"	"n/d"	"0,00"	"MALITO CELINE"
"800053-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0152"	"(450) 555-5756"	"728,25"	"CAD"	"Ouvert"	""	"BEAULIEU MALO"	""	"800053"	"Français"	"2010/01/06"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"152 134,05"	"MALO BEAULIEU"
"800053-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0152"	"(450) 555-5756"	"329,63"	"CAD"	"Ouvert"	""	"BEAULIEU MALO"	""	"800053"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"11 612,14"	"MALO BEAULIEU"
"800053-NA"	"A - Comptant"	""	"(450) 555-0152"	"(450) 555-5756"	"8 754,62"	"CAD"	"Ouvert"	""	"BEAULIEU MALO"	""	"800053"	"Français"	"2009/12/18"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"235 034,29"	"MALO BEAULIEU"
"800053-OB"	"A - Comptant"	""	"(450) 555-0152"	"(450) 555-5756"	"26,11"	"USD"	"Ouvert"	""	"BEAULIEU MALO"	""	"800053"	"Français"	""	"2009/12/31"	""	""	"2009/12/01"	"n/d"	"10 572,38"	"MALO BEAULIEU"
"800246-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-4339"	"(450) 555-3138"	"1 361,55"	"CAD"	"Ouvert"	""	"CARLE MARCIL"	""	"800246"	"Français"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"149 875,60"	"MARCIL CARLE"
"800246-NA"	"A - Comptant"	""	"(450) 555-4339"	"(450) 555-3138"	"4 161,03"	"CAD"	"Ouvert"	""	"CARLE MARCIL"	""	"800246"	"Français"	"2009/12/30"	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"400 493,53"	"MARCIL CARLE"
"800003-NA"	"A - Comptant"	""	"(450) 555-8077"	"(450) 555-1655"	"6 499,10"	"CAD"	"Ouvert"	""	"BRITT MARSTON"	""	"800003"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"701 177,67"	"MARSTON BRITT"
"800003-OB"	"A - Comptant"	""	"(450) 555-8077"	"(450) 555-1655"	"3 718,13"	"USD"	"Ouvert"	""	"BRITT MARSTON"	""	"800003"	"Français"	""	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"109 986,39"	"MARSTON BRITT"
"800268-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1284"	"(450) 555-5778"	"4 096,26"	"CAD"	"Ouvert"	""	"AUDETTE MARTELLO"	""	"800268"	"Français"	""	"2010/01/22"	""	""	"2009/12/01"	"n/d"	"566 901,30"	"MARTELLO AUDETTE"
"800268-RE"	"E - Marge couvert"	""	"(450) 555-1284"	"(450) 555-5778"	"15,00"	"CAD"	"Ouvert"	""	"AUDETTE MARTELLO"	""	"800268"	"Français"	""	"2009/12/15"	""	""	"2009/12/01"	"0,00"	"(8 641,50)"	"MARTELLO AUDETTE"
"800205-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-4830"	"(450) 555-4237"	"0,00"	"CAD"	"Ouvert"	""	"BENNO MASSIE"	""	"800205"	"Français"	"2010/01/19"	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"10 206,32"	"MASSIE BENNO"
"800205-NA"	"A - Comptant"	""	"(450) 555-4830"	"(450) 555-4237"	"11 827,99"	"CAD"	"Ouvert"	""	"BENNO MASSIE"	""	"800205"	"Français"	"2009/12/24"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"6 668 624,85"	"MASSIE BENNO"
"800205-OB"	"A - Comptant"	""	"(450) 555-4830"	"(450) 555-4237"	"7 587,01"	"USD"	"Ouvert"	""	"BENNO MASSIE"	""	"800205"	"Français"	""	"2010/01/06"	""	""	"2009/12/01"	"n/d"	"855 808,01"	"MASSIE BENNO"
"800222-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-6658"	"(450) 555-6615"	"0,00"	"CAD"	"Ouvert"	""	"AURELIANO MCCOMBE"	""	"800222"	"Français"	""	"2004/06/04"	""	""	"2009/12/01"	"n/d"	"0,00"	"MCCOMBE AURELIAN"
"800222-LV"	"N -"	""	"(450) 555-6658"	"(450) 555-6615"	"0,00"	"CAD"	"Ouvert"	""	"AURELIANO MCCOMBE"	""	"800222"	"Français"	""	"2004/06/28"	""	""	"2009/12/01"	"n/d"	"0,00"	"MCCOMBE AURELIAN"
"800222-NA"	"A - Comptant"	""	"(450) 555-6658"	"(450) 555-6615"	"0,00"	"CAD"	"Ouvert"	""	"AURELIANO MCCOMBE"	""	"800222"	"Français"	""	"2004/05/10"	""	""	"2009/12/01"	"n/d"	"0,00"	"MCCOMBE AURELIAN"
"800086-RE"	"E - Marge couvert"	""	"(450) 555-4064"	"(450) 555-0850"	"11 094,54"	"CAD"	"Ouvert"	""	"CAYLEY MCDOWALL"	""	"800086"	"Anglais"	"2010/01/20"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"157 568,79"	"MCDOWALL CAYLEY"
"800006-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-2490"	"(450) 555-3099"	"577,75"	"CAD"	"Ouvert"	""	"BLACK MCGILLICUDDY"	""	"800006"	"Français"	""	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"217 572,42"	"MCGILLICUDDY BLA"
"800006-NA"	"A - Comptant"	""	"(450) 555-2490"	"(450) 555-3099"	"(22 607,83)"	"CAD"	"Ouvert"	""	"BLACK MCGILLICUDDY"	""	"800006"	"Français"	"2010/01/19"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"1 667 149,35"	"MCGILLICUDDY BLA"
"800006-OB"	"A - Comptant"	""	"(450) 555-2490"	"(450) 555-3099"	"13 779,39"	"USD"	"Ouvert"	""	"BLACK MCGILLICUDDY"	""	"800006"	"Français"	""	"2009/12/07"	""	""	"2009/12/01"	"n/d"	"65 872,27"	"MCGILLICUDDY BLA"
"800006-RE"	"E - Marge couvert"	""	"(450) 555-2490"	"(450) 555-3099"	"784,64"	"CAD"	"Ouvert"	""	"BLACK MCGILLICUDDY"	""	"800006"	"Français"	"2010/01/11"	"2010/01/22"	""	""	"2009/12/01"	"0,00"	"89 568,07"	"MCGILLICUDDY BLA"
"800224-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-5501"	"(450) 555-3816"	"46,24"	"CAD"	"Ouvert"	""	"ALFONSO MCGRATH"	""	"800224"	"Anglais"	"2010/01/19"	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"127 265,58"	"MCGRATH ALFONSO"
"800224-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5501"	"(450) 555-3816"	"131,40"	"CAD"	"Ouvert"	""	"ALFONSO MCGRATH"	""	"800224"	"Anglais"	""	"2010/01/15"	""	""	"2009/12/01"	"n/d"	"5 103,14"	"MCGRATH ALFONSO"
"800224-RE"	"E - Marge couvert"	""	"(450) 555-5501"	"(450) 555-3816"	"21 697,85"	"CAD"	"Ouvert"	""	"ALFONSO MCGRATH"	""	"800224"	"Anglais"	"2010/01/25"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"341 264,17"	"MCGRATH ALFONSO"
"800203-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-2933"	"(450) 555-0804"	"8 752,64"	"CAD"	"Ouvert"	""	"ALDEGE MCINTAGGART"	""	"800203"	"Français"	"2010/01/12"	"2010/01/25"	""	""	"2009/12/01"	"n/d"	"187 284,37"	"MCINTAGGART ALDE"
"800203-RE"	"E - Marge couvert"	""	"(450) 555-2933"	"(450) 555-0804"	"4 541,91"	"CAD"	"Ouvert"	""	"ALDEGE MCINTAGGART"	""	"800203"	"Français"	"2010/01/13"	"2010/01/25"	""	""	"2009/12/01"	"0,00"	"332 900,27"	"MCINTAGGART ALDE"
"800273-DQ"	"Q - Régime d'épargne-actions"	""	"(450) 555-0869"	"(450) 555-3055"	"0,00"	"CAD"	"Ouvert"	""	"CELESTE MCMULLIN"	""	"800273"	"Français"	""	"2006/04/06"	""	""	"2009/12/01"	"0,00"	"0,00"	"MCMULLIN CELESTE"
"800273-ER"	"V - Régime d'épargne-études"	""	"(450) 555-0869"	"(450) 555-3055"	"0,00"	"CAD"	"Ouvert"	""	"CELESTE MCMULLIN"	""	"800273"	"Français"	""	""	""	""	"2009/12/01"	"n/d"	"0,00"	"MCMULLIN CELESTE"
"800273-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0869"	"(450) 555-3055"	"4 517,56"	"CAD"	"Ouvert"	""	"CELESTE MCMULLIN"	""	"800273"	"Français"	"2010/01/19"	"2010/01/19"	""	""	"2009/12/01"	"n/d"	"269 494,76"	"MCMULLIN CELESTE"
