"No compte"	"Type"	"Régime"	"Téléphone 1"	"Téléphone 2"	"Solde"	"Devise"	"Feuille F"	"Statut"	"Segments"	"Réserves"	"Nom modèle"	"Nom complet"	"No modèle"	"No client"	"Montant retrait 2"	"Montant retrait 1"	"Langue"	"Fréquence retrait 2"	"Fréquence retrait 1"	"Dernier achat/vente"	"Dern. trans."	"Début fréq. retrait 2"	"Début fréq. retrait 1"	"Début de gestion"	"Date de fermeture"	"Création"	"Compte conjoint"	"Marge"	"Valeur totale"	"Nom"
"800021-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7564"	"(450) 555-0541"	"(26 713,18)"	"CAD"	""	"Ouvert"	"Non"	""	""	"BAYNE GARTON"	""	"800021"	"n/d"	"n/d"	"Anglais"			"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"673 353,98"	"GARTON BAYNE"
"800021-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-7564"	"(450) 555-0541"	"3 478,57"	"CAD"	""	"Ouvert"	"Non"	""	""	"BAYNE GARTON"	""	"800021"	"n/d"	"n/d"	"Anglais"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"29 762,58"	"GARTON BAYNE"
"800021-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-7564"	"(450) 555-0541"	"11,24"	"CAD"	""	"Ouvert"	"Non"	""	""	"BAYNE GARTON"	""	"800021"	"n/d"	"n/d"	"Anglais"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"12 110,08"	"GARTON BAYNE"
"800021-NA"	"A - Comptant"	""	"(450) 555-7564"	"(450) 555-0541"	"(4 000,00)"	"CAD"	""	"Ouvert"	"Non"	""	""	"BAYNE GARTON"	""	"800021"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"669 946,33"	"GARTON BAYNE"
"800267-GT"	"T - Fonds de revenu de retraite"	"111577689309"	"(450) 555-5552"	"(450) 555-4777"	"3 663,99"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALOIS GATES"	""	"800267"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"425 275,84"	"GATES ALOIS"
"800267-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5552"	"(450) 555-4777"	"259,12"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALOIS GATES"	""	"800267"	"n/d"	"n/d"	"Français"			""	"2009/11/24"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"8 347,04"	"GATES ALOIS"
"800267-RE"	"E - Marge couvert"	"001000"	"(450) 555-5552"	"(450) 555-4777"	"23 310,50"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALOIS GATES"	""	"800267"	"n/d"	"n/d"	"Français"			""	"2010/01/19"	""	""	"2009/01/01"	""	"2009/01/01"	"Non"	"0,00"	"767 077,77"	"GATES ALOIS"
"800250-HU"	"R - RER Immobilisé (Lock-in et CRI)"	""	"7592822"	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BOURBON GHILZON"	""	"800250"	"n/d"	"n/d"	"Français"			""	"2007/05/01"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"GHILZON BOURBON"
"800250-NA"	"A - Comptant"	""	"7592822"	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BOURBON GHILZON"	""	"800250"	"n/d"	"n/d"	"Français"			""	"2007/05/02"	""	""	""	""	"2009/01/01"	"Oui"	"n/d"	"0,00"	"GHILZON BOURBON"
"800277-NA"	"A - Comptant"	""	"123 456 7890"	"123 456-7890"	"321,68"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANGELLA GIRARDIN"	""	"800277"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"321,68"	"GIRARDIN ANGELLA"
"800277-OB"	"A - Comptant"	""	"123 456 7890"	"123 456-7890"	"10 498,04"	"USD"	""	"Ouvert"	"Non"	""	""	"ANGELLA GIRARDIN"	""	"800277"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"257 933,14"	"GIRARDIN ANGELLA"
"800277-RE"	"E - Marge couvert"	""	"123 456 7890"	"123 456-7890"	"1 995,56"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANGELLA GIRARDIN"	""	"800277"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"493 678,17"	"GIRARDIN ANGELLA"
"800277-SF"	"E - Marge couvert"	""	"123 456 7890"	"123 456-7890"	"13 037,15"	"USD"	""	"Ouvert"	"Non"	""	""	"ANGELLA GIRARDIN"	""	"800277"	"n/d"	"n/d"	"Français"			""	"2010/01/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"250 620,35"	"GIRARDIN ANGELLA"
"300007-NA"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"447 859,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"GP VALIDATION"	""	"300007"	"n/d"	"n/d"	"Français"			"2009/12/29"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"447 859,00"	"GP VALIDATION"
"300007-OB"	"A - Comptant"	""	"(450) 555-4444"	"(450) 555-4441"	"476 961,48"	"USD"	""	"Ouvert"	"Non"	""	""	"GP VALIDATION"	""	"300007"	"n/d"	"n/d"	"Français"			"2009/08/17"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"476 961,48"	"GP VALIDATION"
"800213-NA"	"A - Comptant"	""	"(450) 555-6400"	"(450) 555-0551"	"6 601,05"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMIOT GRACIE"	""	"800213"	"n/d"	"n/d"	"Anglais"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"972 978,14"	"GRACIE AMIOT"
"800213-OB"	"A - Comptant"	""	"(450) 555-6400"	"(450) 555-0551"	"2 434,55"	"USD"	""	"Ouvert"	"Non"	""	""	"AMIOT GRACIE"	""	"800213"	"n/d"	"n/d"	"Anglais"			""	"2010/01/13"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"63 631,16"	"GRACIE AMIOT"
"800031-FS"	"S - Régime d'épargne-retraite"	""	"4185432287"	""	"17 066,41"	"CAD"	""	"Ouvert"	"Non"	""	""	"SOWLIN GREENSPOON"	""	"800031"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"106 388,41"	"GREENSPOON SOWLI"
"800031-NA"	"A - Comptant"	""	"4185432287"	""	"122 664,08"	"CAD"	""	"Ouvert"	"Non"	""	""	"SOWLIN GREENSPOON"	""	"800031"	"n/d"	"n/d"	"Français"			""	"2010/01/18"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"710 444,34"	"GREENSPOON SOWLI"
"800269-GT"	"T - Fonds de revenu de retraite"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARRY GREICO"	""	"800269"	"n/d"	"n/d"	"Français"			""	"2006/03/07"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"GREICO BARRY"
"800269-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BARRY GREICO"	""	"800269"	"n/d"	"n/d"	"Français"			""	"2006/03/09"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"GREICO BARRY"
"800060-NA"	"A - Comptant"	"111577689300"	""	""	"198 967,04"	"CAD"	"Oui"	"Ouvert"	"Non"	""	""	"CHANTAL GRUEN"	""	"800060"	"n/d"	"n/d"	"Français"			""	"2010/01/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"855 676,23"	"GRUEN CHANTAL"
"800060-OB"	"A - Comptant"	""	""	""	"63 736,98"	"USD"	""	"Ouvert"	"Non"	""	""	"CHANTAL GRUEN"	""	"800060"	"n/d"	"n/d"	"Français"			""	"2010/01/21"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"135 912,04"	"GRUEN CHANTAL"
"800085-RE"	"E - Marge couvert"	""	"(450) 555-2559"	"(450) 555-4855"	"3 150,94"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALLAN GUERASSIMENKO"	""	"800085"	"n/d"	"n/d"	"Anglais"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"136 858,80"	"GUERASSIMENKO AL"
"800279-NA"	"A - Comptant"	""	"(450) 555-8609"	"(450) 555-8745"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"OLIVIER GUIMOND"	""	"800279"	"n/d"	"n/d"	"Français"			""	"2003/02/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"GUIMOND OLIVIER"
"800279-OB"	"A - Comptant"	""	"(450) 555-8609"	"(450) 555-8745"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"OLIVIER GUIMOND"	""	"800279"	"n/d"	"n/d"	"Français"			""	"2003/01/24"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"GUIMOND OLIVIER"
"800279-RE"	"E - Marge couvert"	""	"(450) 555-8609"	"(450) 555-8745"	"3 744,41"	"CAD"	""	"Ouvert"	"Non"	""	""	"OLIVIER GUIMOND"	""	"800279"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"1 524 655,61"	"GUIMOND OLIVIER"
"800279-SF"	"E - Marge couvert"	"112577689300"	"(450) 555-8609"	"(450) 555-8745"	"5 459,07"	"USD"	""	"Ouvert"	"Non"	""	""	"OLIVIER GUIMOND"	""	"800279"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"264 627,73"	"GUIMOND OLIVIER"
"800061-RE"	"E - Marge couvert"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BONACE GURAK"	""	"800061"	"n/d"	"n/d"	"Français"			""	"2005/11/02"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"GURAK BONACE"
"800061-SF"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BONACE GURAK"	""	"800061"	"n/d"	"n/d"	"Français"			""	"2005/11/02"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"GURAK BONACE"
"800287-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0474"	"(450) 555-7343"	"105,83"	"CAD"	""	"Ouvert"	"Non"	""	""	"AURORE HARTER"	""	"800287"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"451 074,26"	"HARTER AURORE"
"800287-NA"	"A - Comptant"	""	"(450) 555-0474"	"(450) 555-7343"	"11 302,64"	"CAD"	""	"Ouvert"	"Non"	""	""	"AURORE HARTER"	""	"800287"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"549 372,76"	"HARTER AURORE"
"800001-NA"	"A - Comptant"	""	"(450) 555-6794"	"(450) 555-3879"	"(15 381,69)"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALAIN HEFFELFINGER"	""	"800001"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"815 366,42"	"HEFFELFINGER ALA"
"800001-OB"	"A - Comptant"	""	"(450) 555-6794"	"(450) 555-3879"	"46 832,77"	"USD"	""	"Ouvert"	"Non"	""	""	"ALAIN HEFFELFINGER"	""	"800001"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"414 712,37"	"HEFFELFINGER ALA"
"800249-NA"	"A - Comptant"	"001000"	"(450) 555-6934"	"(450) 555-4795"	"149 888,26"	"CAD"	""	"Ouvert"	"Non"	""	""	"ARRY HOFFMAN"	""	"800249"	"n/d"	"n/d"	"Français"			"2010/01/25"	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"21 348 070,45"	"HOFFMAN ARRY"
"800249-OB"	"A - Comptant"	""	"(450) 555-6934"	"(450) 555-4795"	"12 159,61"	"USD"	""	"Ouvert"	"Non"	""	""	"ARRY HOFFMAN"	""	"800249"	"n/d"	"n/d"	"Français"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"12 159,61"	"HOFFMAN ARRY"
"800271-NA"	"A - Comptant"	""	"(450) 555-7821"	"(450) 555-9043"	"0,00"	"CAD"	"Oui"	"Ouvert"	"Non"	""	""	"ACURA HOLLIS"	""	"800271"	"n/d"	"n/d"	"Français"			""	"2007/01/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"HOLLIS ACURA"
"800243-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-0805"	"(450) 555-6049"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANTONINE HUMPHREY"	""	"800243"	"n/d"	"n/d"	"Français"			""	"2009/12/11"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"HUMPHREY ANTONIN"
"800243-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-0805"	"(450) 555-6049"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANTONINE HUMPHREY"	""	"800243"	"n/d"	"n/d"	"Français"			""	"2009/12/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"6 054,76"	"HUMPHREY ANTONIN"
"800243-NA"	"A - Comptant"	"111577689305"	"(450) 555-0805"	"(450) 555-6049"	"511,06"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANTONINE HUMPHREY"	""	"800243"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"90 701,13"	"HUMPHREY ANTONIN"
"800220-LY"	"Y - Rente viagère"	""	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CAHTERINE ISMAN"	""	"800220"	"n/d"	"n/d"	"Français"			""	"2008/06/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"ISMAN CAHTERINE"
"800220-RE"	"E - Marge couvert"	""	"(450) 555-2470"	"(450) 555-4704"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"CAHTERINE ISMAN"	""	"800220"	"n/d"	"n/d"	"Français"			""	"2008/08/21"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"ISMAN CAHTERINE"
"800062-NA"	"A - Comptant"	""	"(450) 555-5792"	"(450) 555-5859"	"2 654,52"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMALIE ISSENMAN"	""	"800062"	"n/d"	"n/d"	"Anglais"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"120 764,28"	"ISSENMAN AMALIE"
"800062-OB"	"A - Comptant"	""	"(450) 555-5792"	"(450) 555-5859"	"35 682,15"	"USD"	""	"Ouvert"	"Non"	""	""	"AMALIE ISSENMAN"	""	"800062"	"n/d"	"n/d"	"Anglais"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"108 409,63"	"ISSENMAN AMALIE"
"800036-GT"	"T - Fonds de revenu de retraite"	""	"4502638715F"	""	"57 280,12"	"CAD"	""	"Ouvert"	"Non"	""	""	"BEVERALY JACOBSON"	""	"800036"	"n/d"	"n/d"	"Français"			""	"2010/01/14"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"156 876,15"	"JACOBSON BEVERAL"
"800036-NA"	"A - Comptant"	""	"4502638715F"	""	"301 576,54"	"CAD"	""	"Ouvert"	"Non"	""	""	"BEVERALY JACOBSON"	""	"800036"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"834 306,04"	"JACOBSON BEVERAL"
"800254-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANTONIUS JAKOBSEN"	""	"800254"	"n/d"	"n/d"	"Français"			""	"2006/06/27"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"JAKOBSEN ANTONIU"
"800254-NA"	"A - Comptant"	""	"(450) 555-7000"	"(450) 555-6489"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ANTONIUS JAKOBSEN"	""	"800254"	"n/d"	"n/d"	"Français"			""	"2007/03/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"JAKOBSEN ANTONIU"
"800221-FS"	"S - Régime d'épargne-retraite"	""	""	""	"921,09"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARLEY JANELLE"	""	"800221"	"n/d"	"n/d"	"Français"			""	"2010/01/22"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"592 814,62"	"JANELLE CARLEY"
"800221-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	""	""	"221,19"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARLEY JANELLE"	""	"800221"	"n/d"	"n/d"	"Français"			""	"2010/01/04"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 377,91"	"JANELLE CARLEY"
"800221-NA"	"A - Comptant"	""	""	""	"2 122,99"	"CAD"	""	"Ouvert"	"Non"	""	""	"CARLEY JANELLE"	""	"800221"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"40 565,15"	"JANELLE CARLEY"
"800078-NA"	"A - Comptant"	""	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BABCOCK JANSEN"	""	"800078"	"n/d"	"n/d"	"Français"			""	"2008/11/26"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"JANSEN BABCOCK"
"800078-OB"	"A - Comptant"	""	"(450) 555-0097"	"(450) 555-7078"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BABCOCK JANSEN"	""	"800078"	"n/d"	"n/d"	"Français"			""	"2008/11/26"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"JANSEN BABCOCK"
"800087-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-4064"	"(450) 555-0850"	"2 688,39"	"CAD"	""	"Ouvert"	"Non"	""	""	"JOAN MCDOWALL"	""	"800087"	"n/d"	"n/d"	"Anglais"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"67 351,40"	"JOAN CAYLEY"
"800087-LV"	"N -"	""	"(450) 555-4064"	"(450) 555-0850"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"JOAN MCDOWALL"	""	"800087"	"n/d"	"n/d"	"Anglais"			""	"2009/06/30"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"JOAN CAYLEY"
"800087-NA"	"A - Comptant"	""	"(450) 555-4064"	"(450) 555-0850"	"2 942,13"	"CAD"	""	"Ouvert"	"Non"	""	""	"JOAN MCDOWALL"	""	"800087"	"n/d"	"n/d"	"Anglais"			""	"2009/12/31"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"36 158,45"	"JOAN CAYLEY"
"800087-RE"	"E - Marge couvert"	""	"(450) 555-4064"	"(450) 555-0850"	"6 779,47"	"CAD"	""	"Ouvert"	"Non"	""	""	"JOAN MCDOWALL"	""	"800087"	"n/d"	"n/d"	"Anglais"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"302 761,51"	"JOAN CAYLEY"
"800048-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-5398"	"(450) 555-5398"	"35 612,52"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALOURDES KADOTA"	""	"800048"	"n/d"	"n/d"	"Français"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"412 583,78"	"KADOTA ALOURDES"
"800048-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5398"	"(450) 555-5398"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALOURDES KADOTA"	""	"800048"	"n/d"	"n/d"	"Français"			""	"2010/01/08"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 954,25"	"KADOTA ALOURDES"
"800048-NA"	"A - Comptant"	""	"(450) 555-5398"	"(450) 555-5398"	"(464,60)"	"CAD"	""	"Ouvert"	"Non"	""	""	"ALOURDES KADOTA"	""	"800048"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"385 827,01"	"KADOTA ALOURDES"
"800077-NA"	"A - Comptant"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"MCKENZIE KING"	""	"800077"	"n/d"	"n/d"	"Français"			""	"2003/12/05"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"KING MCKENZIE"
"800077-RE"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"5 903,59"	"CAD"	""	"Ouvert"	"Non"	""	""	"MCKENZIE KING"	""	"800077"	"n/d"	"n/d"	"Français"			""	"2010/01/04"	""	""	""	""	"2003/10/08"	"Non"	"0,00"	"113 162,96"	"KING MCKENZIE"
"800077-SF"	"E - Marge couvert"	""	"1234567890"	"9876543210"	"890,97"	"USD"	""	"Ouvert"	"Non"	""	""	"MCKENZIE KING"	""	"800077"	"n/d"	"n/d"	"Français"			""	"2010/01/06"	""	""	""	""	"2003/10/16"	"Non"	"0,00"	"53 713,37"	"KING MCKENZIE"
"800260-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-1222"	"(450) 555-2627"	"0,53"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHARTRAND KINOSHITA"	""	"800260"	"n/d"	"n/d"	"Anglais"			""	"2009/12/01"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"475 413,64"	"KINOSHITA CHARTR"
"800260-RE"	"E - Marge couvert"	""	"(450) 555-1222"	"(450) 555-2627"	"562,29"	"CAD"	""	"Ouvert"	"Non"	""	""	"CHARTRAND KINOSHITA"	""	"800260"	"n/d"	"n/d"	"Anglais"			""	"2010/01/15"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"241 364,98"	"KINOSHITA CHARTR"
"800079-GT"	"T - Fonds de revenu de retraite"	""	"(450) 555-5954"	"(450) 555-2795"	"1 185,97"	"CAD"	""	"Ouvert"	"Non"	""	""	"AILLEEN KLINGMAN"	""	"800079"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"155 340,61"	"KLINGMAN AILLEEN"
"800079-JW"	"W - Fonds de revenus de retraite - Conjoint"	""	"(450) 555-5954"	"(450) 555-2795"	"135,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"AILLEEN KLINGMAN"	""	"800079"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"10 228,91"	"KLINGMAN AILLEEN"
"800079-NA"	"A - Comptant"	""	"(450) 555-5954"	"(450) 555-2795"	"642,14"	"CAD"	""	"Ouvert"	"Non"	""	""	"AILLEEN KLINGMAN"	""	"800079"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"659 248,49"	"KLINGMAN AILLEEN"
"800234-DQ"	"Q - Régime d'épargne-actions"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMEDEE KNIGHT"	""	"800234"	"n/d"	"n/d"	"Français"			""	"2005/04/25"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"KNIGHT AMEDEE"
"800234-FS"	"S - Régime d'épargne-retraite"	""	""	""	"10 563,48"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMEDEE KNIGHT"	""	"800234"	"n/d"	"n/d"	"Français"			""	"2010/01/25"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"681 360,05"	"KNIGHT AMEDEE"
"800234-RE"	"E - Marge couvert"	""	""	""	"2 431,11"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMEDEE KNIGHT"	""	"800234"	"n/d"	"n/d"	"Français"			""	"2010/01/20"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"350 586,65"	"KNIGHT AMEDEE"
"800234-SF"	"E - Marge couvert"	""	""	""	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"AMEDEE KNIGHT"	""	"800234"	"n/d"	"n/d"	"Français"			""	"2005/10/13"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"KNIGHT AMEDEE"
"900235-NA"	"A - Comptant"	""	""	""	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"AMEDEE KNIGHT"	""	"900235"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"KNIGHT AMEDEE"
"800042-FS"	"S - Régime d'épargne-retraite"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BUBSIE KRABSEN"	""	"800042"	"n/d"	"n/d"	"Anglais"			""	"2009/06/10"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"KRABSEN BUBSIE"
"800042-NA"	"A - Comptant"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BUBSIE KRABSEN"	""	"800042"	"n/d"	"n/d"	"Anglais"			""	"2009/07/29"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"KRABSEN BUBSIE"
"800042-OB"	"A - Comptant"	""	"(450) 555-9672"	"(450) 555-7949"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BUBSIE KRABSEN"	""	"800042"	"n/d"	"n/d"	"Anglais"			""	"2009/05/11"	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"KRABSEN BUBSIE"
"800014-RE"	"E - Marge couvert"	""	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BABE KROEGER"	""	"800014"	"n/d"	"n/d"	"Français"			""	"2006/06/05"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"KROEGER BABE"
"800014-SF"	"E - Marge couvert"	""	"(450) 555-4622"	"(450) 555-8363"	"0,00"	"USD"	""	"Ouvert"	"Non"	""	""	"BABE KROEGER"	""	"800014"	"n/d"	"n/d"	"Français"			""	"2006/05/03"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"KROEGER BABE"
"800272-DQ"	"Q - Régime d'épargne-actions"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BLAKE LAFERRIERE"	""	"800272"	"n/d"	"n/d"	"Français"			""	"2005/03/28"	""	""	""	""	"2009/01/01"	"Non"	"0,00"	"0,00"	"LAFERRIERE BLAKE"
"800272-ER"	"V - Régime d'épargne-études"	""	"1234567890"	"9876543210"	"0,00"	"CAD"	""	"Ouvert"	"Non"	""	""	"BLAKE LAFERRIERE"	""	"800272"	"n/d"	"n/d"	"Français"			""	""	""	""	""	""	"2009/01/01"	"Non"	"n/d"	"0,00"	"LAFERRIERE BLAKE"
