"Account No."	"Type"	"Plan"	"Telephone 1"	"Telephone 2"	"Balance"	"Currency"	"Feuille A"	"Withdrawal frequency 2"	"Withdrawal frequency 1"	"Withdrawal amount 2"	"Withdrawal amount 1"	"Withdr. freq. start date 2"	"Withdr. freq. start date 1"	"Status"	"Sleeves"	"Reserves"	"Pro"	"Model Number"	"Model Name"	"Management Start Date"	"Last Transaction"	"Last Trade"	"Language"	"Joint Account"	"Full Name"	"Discretionary"	"Creation Date"	"Closing Date"	"Client No."	"Margin"	"Total Value"	"Name"
"800046-FS"	"S - Retirement Savings Plan"	""	"(450) 555-3143"	"(450) 555-2128"	"7,926.98"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"CHRISTINE FRESEY"	"Yes"	"01/01/2009"	""	"800046"	"n/a"	"246,049.67"	"FRESEY CHRISTINE"
"800046-NA"	"A - Cash"	""	"(450) 555-3143"	"(450) 555-2128"	"8,391.61"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"CHRISTINE FRESEY"	"Yes"	"01/01/2009"	""	"800046"	"n/a"	"173,806.05"	"FRESEY CHRISTINE"
"800046-OB"	"A - Cash"	""	"(450) 555-3143"	"(450) 555-2128"	"7,050.91"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"02/01/2009"	"01/15/2010"	""	"French"	"No"	"CHRISTINE FRESEY"	"Yes"	"01/01/2009"	""	"800046"	"n/a"	"156,376.51"	"FRESEY CHRISTINE"
"800046-RE"	"E - Margin Long"	""	"(450) 555-3143"	"(450) 555-2128"	"7,293.38"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"CHRISTINE FRESEY"	"Yes"	"01/01/2009"	""	"800046"	"0.00"	"883,853.62"	"FRESEY CHRISTINE"
"800076-FS"	"S - Retirement Savings Plan"	""	"1234567890"	"9876543210"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/07/2001"	""	"French"	"Yes"	"BROCHU GALLATI"	"Yes"	"01/01/2009"	""	"800076"	"n/a"	"0.00"	"GALLATI BROCHU"
"800076-GT"	"T - Retirement Income Funds"	""	"1234567890"	"9876543210"	"1,219.59"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/28/2009"	""	"French"	"Yes"	"BROCHU GALLATI"	"Yes"	"05/31/2001"	""	"800076"	"n/a"	"10,996.27"	"GALLATI BROCHU"
"800076-NA"	"A - Cash"	""	"1234567890"	"9876543210"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"07/04/2005"	""	"French"	"Yes"	"BROCHU GALLATI"	"Yes"	"01/01/2009"	""	"800076"	"n/a"	"0.00"	"GALLATI BROCHU"
"800280-RE"	"E - Margin Long"	"112577689300"	"1234567890"	"9876543210"	"33,962.21"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"BENEZETTE GALLEY"	"Yes"	"01/01/2009"	""	"800280"	"0.00"	"1,102,163.63"	"GALLEY BENEZETTE"
"800280-SF"	"E - Margin Long"	"001000"	"1234567890"	"9876543210"	"171,147.13"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"01/01/2009"	"01/18/2010"	""	"French"	"No"	"BENEZETTE GALLEY"	"Yes"	"01/01/2009"	""	"800280"	"0.00"	"474,316.31"	"GALLEY BENEZETTE"
"800021-FS"	"S - Retirement Savings Plan"	""	"(450) 555-7564"	"(450) 555-0541"	"(26,713.18)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"01/25/2010"	"English"	"No"	"BAYNE GARTON"	"Yes"	"01/01/2009"	""	"800021"	"n/a"	"673,353.98"	"GARTON BAYNE"
"800021-GT"	"T - Retirement Income Funds"	""	"(450) 555-7564"	"(450) 555-0541"	"3,478.57"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"BAYNE GARTON"	"Yes"	"01/01/2009"	""	"800021"	"n/a"	"29,762.58"	"GARTON BAYNE"
"800021-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-7564"	"(450) 555-0541"	"11.24"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"BAYNE GARTON"	"Yes"	"01/01/2009"	""	"800021"	"n/a"	"12,110.08"	"GARTON BAYNE"
"800021-NA"	"A - Cash"	""	"(450) 555-7564"	"(450) 555-0541"	"(4,000.00)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"English"	"No"	"BAYNE GARTON"	"Yes"	"01/01/2009"	""	"800021"	"n/a"	"669,946.33"	"GARTON BAYNE"
"800267-GT"	"T - Retirement Income Funds"	"111577689309"	"(450) 555-5552"	"(450) 555-4777"	"3,663.99"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"ALOIS GATES"	"Yes"	"01/01/2009"	""	"800267"	"n/a"	"425,275.84"	"GATES ALOIS"
"800267-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5552"	"(450) 555-4777"	"259.12"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/24/2009"	""	"French"	"No"	"ALOIS GATES"	"Yes"	"01/01/2009"	""	"800267"	"n/a"	"8,347.04"	"GATES ALOIS"
"800267-RE"	"E - Margin Long"	"001000"	"(450) 555-5552"	"(450) 555-4777"	"23,310.50"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	"01/01/2009"	"01/19/2010"	""	"French"	"No"	"ALOIS GATES"	"Yes"	"01/01/2009"	""	"800267"	"0.00"	"767,077.77"	"GATES ALOIS"
"800250-HU"	"R - RSP Locked-in (Locked-in & LIRA)"	""	"7592822"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"05/01/2007"	""	"French"	"Yes"	"BOURBON GHILZON"	"Yes"	"01/01/2009"	""	"800250"	"n/a"	"0.00"	"GHILZON BOURBON"
"800250-NA"	"A - Cash"	""	"7592822"	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"05/02/2007"	""	"French"	"Yes"	"BOURBON GHILZON"	"Yes"	"01/01/2009"	""	"800250"	"n/a"	"0.00"	"GHILZON BOURBON"
"800277-NA"	"A - Cash"	""	"123 456 7890"	"123 456-7890"	"321.68"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2010"	""	"French"	"No"	"ANGELLA GIRARDIN"	"Yes"	"01/01/2009"	""	"800277"	"n/a"	"321.68"	"GIRARDIN ANGELLA"
"800277-OB"	"A - Cash"	""	"123 456 7890"	"123 456-7890"	"10,498.04"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"ANGELLA GIRARDIN"	"Yes"	"01/01/2009"	""	"800277"	"n/a"	"257,933.14"	"GIRARDIN ANGELLA"
"800277-RE"	"E - Margin Long"	""	"123 456 7890"	"123 456-7890"	"1,995.56"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"ANGELLA GIRARDIN"	"Yes"	"01/01/2009"	""	"800277"	"0.00"	"493,678.17"	"GIRARDIN ANGELLA"
"800277-SF"	"E - Margin Long"	""	"123 456 7890"	"123 456-7890"	"13,037.15"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/13/2010"	""	"French"	"No"	"ANGELLA GIRARDIN"	"Yes"	"01/01/2009"	""	"800277"	"0.00"	"250,620.35"	"GIRARDIN ANGELLA"
"300007-NA"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"447,859.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"12/29/2009"	"French"	"No"	"GP VALIDATION"	"Yes"	"01/01/2009"	""	"300007"	"n/a"	"447,859.00"	"GP VALIDATION"
"300007-OB"	"A - Cash"	""	"(450) 555-4444"	"(450) 555-4441"	"476,961.48"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	"08/17/2009"	"French"	"No"	"GP VALIDATION"	"Yes"	"01/01/2009"	""	"300007"	"n/a"	"476,961.48"	"GP VALIDATION"
"800213-NA"	"A - Cash"	""	"(450) 555-6400"	"(450) 555-0551"	"6,601.05"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"English"	"No"	"AMIOT GRACIE"	"Yes"	"01/01/2009"	""	"800213"	"n/a"	"972,978.14"	"GRACIE AMIOT"
"800213-OB"	"A - Cash"	""	"(450) 555-6400"	"(450) 555-0551"	"2,434.55"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/13/2010"	""	"English"	"No"	"AMIOT GRACIE"	"Yes"	"01/01/2009"	""	"800213"	"n/a"	"63,631.16"	"GRACIE AMIOT"
"800031-FS"	"S - Retirement Savings Plan"	""	"4185432287"	""	"17,066.41"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"SOWLIN GREENSPOON"	"Yes"	"01/01/2009"	""	"800031"	"n/a"	"106,388.41"	"GREENSPOON SOWLI"
"800031-NA"	"A - Cash"	""	"4185432287"	""	"122,664.08"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/18/2010"	""	"French"	"No"	"SOWLIN GREENSPOON"	"Yes"	"01/01/2009"	""	"800031"	"n/a"	"710,444.34"	"GREENSPOON SOWLI"
"800269-GT"	"T - Retirement Income Funds"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"03/07/2006"	""	"French"	"No"	"BARRY GREICO"	"Yes"	"01/01/2009"	""	"800269"	"n/a"	"0.00"	"GREICO BARRY"
"800269-NA"	"A - Cash"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"03/09/2006"	""	"French"	"No"	"BARRY GREICO"	"Yes"	"01/01/2009"	""	"800269"	"n/a"	"0.00"	"GREICO BARRY"
"800060-NA"	"A - Cash"	"111577689300"	""	""	"198,967.04"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/21/2010"	""	"French"	"No"	"CHANTAL GRUEN"	"Yes"	"01/01/2009"	""	"800060"	"n/a"	"855,676.23"	"GRUEN CHANTAL"
"800060-OB"	"A - Cash"	""	""	""	"63,736.98"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/21/2010"	""	"French"	"No"	"CHANTAL GRUEN"	"Yes"	"01/01/2009"	""	"800060"	"n/a"	"135,912.04"	"GRUEN CHANTAL"
"800085-RE"	"E - Margin Long"	""	"(450) 555-2559"	"(450) 555-4855"	"3,150.94"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"English"	"No"	"ALLAN GUERASSIMENKO"	"Yes"	"01/01/2009"	""	"800085"	"0.00"	"136,858.80"	"GUERASSIMENKO AL"
"800279-NA"	"A - Cash"	""	"(450) 555-8609"	"(450) 555-8745"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"02/20/2003"	""	"French"	"No"	"OLIVIER GUIMOND"	"Yes"	"01/01/2009"	""	"800279"	"n/a"	"0.00"	"GUIMOND OLIVIER"
"800279-OB"	"A - Cash"	""	"(450) 555-8609"	"(450) 555-8745"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/24/2003"	""	"French"	"No"	"OLIVIER GUIMOND"	"Yes"	"01/01/2009"	""	"800279"	"n/a"	"0.00"	"GUIMOND OLIVIER"
"800279-RE"	"E - Margin Long"	""	"(450) 555-8609"	"(450) 555-8745"	"3,744.41"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"OLIVIER GUIMOND"	"Yes"	"01/01/2009"	""	"800279"	"0.00"	"1,524,655.61"	"GUIMOND OLIVIER"
"800279-SF"	"E - Margin Long"	"112577689300"	"(450) 555-8609"	"(450) 555-8745"	"5,459.07"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"OLIVIER GUIMOND"	"Yes"	"01/01/2009"	""	"800279"	"0.00"	"264,627.73"	"GUIMOND OLIVIER"
"800061-RE"	"E - Margin Long"	""	""	""	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/02/2005"	""	"French"	"No"	"BONACE GURAK"	"Yes"	"01/01/2009"	""	"800061"	"0.00"	"0.00"	"GURAK BONACE"
"800061-SF"	"E - Margin Long"	""	""	""	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/02/2005"	""	"French"	"No"	"BONACE GURAK"	"Yes"	"01/01/2009"	""	"800061"	"0.00"	"0.00"	"GURAK BONACE"
"800287-FS"	"S - Retirement Savings Plan"	""	"(450) 555-0474"	"(450) 555-7343"	"105.83"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"AURORE HARTER"	"Yes"	"01/01/2009"	""	"800287"	"n/a"	"451,074.26"	"HARTER AURORE"
"800287-NA"	"A - Cash"	""	"(450) 555-0474"	"(450) 555-7343"	"11,302.64"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/31/2009"	""	"French"	"No"	"AURORE HARTER"	"Yes"	"01/01/2009"	""	"800287"	"n/a"	"549,372.76"	"HARTER AURORE"
"800001-NA"	"A - Cash"	""	"(450) 555-6794"	"(450) 555-3879"	"(15,381.69)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"English"	"No"	"ALAIN HEFFELFINGER"	"Yes"	"01/01/2009"	""	"800001"	"n/a"	"815,366.42"	"HEFFELFINGER ALA"
"800001-OB"	"A - Cash"	""	"(450) 555-6794"	"(450) 555-3879"	"46,832.77"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"ALAIN HEFFELFINGER"	"Yes"	"01/01/2009"	""	"800001"	"n/a"	"414,712.37"	"HEFFELFINGER ALA"
"800249-NA"	"A - Cash"	"001000"	"(450) 555-6934"	"(450) 555-4795"	"149,888.26"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	"01/25/2010"	"French"	"No"	"ARRY HOFFMAN"	"Yes"	"01/01/2009"	""	"800249"	"n/a"	"21,348,070.45"	"HOFFMAN ARRY"
"800249-OB"	"A - Cash"	""	"(450) 555-6934"	"(450) 555-4795"	"12,159.61"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/31/2009"	""	"French"	"No"	"ARRY HOFFMAN"	"Yes"	"01/01/2009"	""	"800249"	"n/a"	"12,159.61"	"HOFFMAN ARRY"
"800271-NA"	"A - Cash"	""	"(450) 555-7821"	"(450) 555-9043"	"0.00"	"CAD"	"Yes"	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/29/2007"	""	"French"	"No"	"ACURA HOLLIS"	"Yes"	"01/01/2009"	""	"800271"	"n/a"	"0.00"	"HOLLIS ACURA"
"800243-FS"	"S - Retirement Savings Plan"	""	"(450) 555-0805"	"(450) 555-6049"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/11/2009"	""	"French"	"No"	"ANTONINE HUMPHREY"	"Yes"	"01/01/2009"	""	"800243"	"n/a"	"0.00"	"HUMPHREY ANTONIN"
"800243-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-0805"	"(450) 555-6049"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/29/2009"	""	"French"	"No"	"ANTONINE HUMPHREY"	"Yes"	"01/01/2009"	""	"800243"	"n/a"	"6,054.76"	"HUMPHREY ANTONIN"
"800243-NA"	"A - Cash"	"111577689305"	"(450) 555-0805"	"(450) 555-6049"	"511.06"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/15/2010"	""	"French"	"No"	"ANTONINE HUMPHREY"	"Yes"	"01/01/2009"	""	"800243"	"n/a"	"90,701.13"	"HUMPHREY ANTONIN"
"800220-LY"	"Y - Life Annuity"	""	"(450) 555-2470"	"(450) 555-4704"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/04/2008"	""	"French"	"No"	"CAHTERINE ISMAN"	"Yes"	"01/01/2009"	""	"800220"	"n/a"	"0.00"	"ISMAN CAHTERINE"
"800220-RE"	"E - Margin Long"	""	"(450) 555-2470"	"(450) 555-4704"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"08/21/2008"	""	"French"	"No"	"CAHTERINE ISMAN"	"Yes"	"01/01/2009"	""	"800220"	"0.00"	"0.00"	"ISMAN CAHTERINE"
"800062-NA"	"A - Cash"	""	"(450) 555-5792"	"(450) 555-5859"	"2,654.52"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/20/2010"	""	"English"	"No"	"AMALIE ISSENMAN"	"Yes"	"01/01/2009"	""	"800062"	"n/a"	"120,764.28"	"ISSENMAN AMALIE"
"800062-OB"	"A - Cash"	""	"(450) 555-5792"	"(450) 555-5859"	"35,682.15"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"English"	"No"	"AMALIE ISSENMAN"	"Yes"	"01/01/2009"	""	"800062"	"n/a"	"108,409.63"	"ISSENMAN AMALIE"
"800036-GT"	"T - Retirement Income Funds"	""	"4502638715F"	""	"57,280.12"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/14/2010"	""	"French"	"No"	"BEVERALY JACOBSON"	"Yes"	"01/01/2009"	""	"800036"	"n/a"	"156,876.15"	"JACOBSON BEVERAL"
"800036-NA"	"A - Cash"	""	"4502638715F"	""	"301,576.54"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/22/2010"	""	"French"	"No"	"BEVERALY JACOBSON"	"Yes"	"01/01/2009"	""	"800036"	"n/a"	"834,306.04"	"JACOBSON BEVERAL"
"800254-FS"	"S - Retirement Savings Plan"	""	"(450) 555-7000"	"(450) 555-6489"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/27/2006"	""	"French"	"No"	"ANTONIUS JAKOBSEN"	"Yes"	"01/01/2009"	""	"800254"	"n/a"	"0.00"	"JAKOBSEN ANTONIU"
"800254-NA"	"A - Cash"	""	"(450) 555-7000"	"(450) 555-6489"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"03/22/2007"	""	"French"	"No"	"ANTONIUS JAKOBSEN"	"Yes"	"01/01/2009"	""	"800254"	"n/a"	"0.00"	"JAKOBSEN ANTONIU"
"800221-FS"	"S - Retirement Savings Plan"	""	""	""	"921.09"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/22/2010"	""	"French"	"No"	"CARLEY JANELLE"	"Yes"	"01/01/2009"	""	"800221"	"n/a"	"592,814.62"	"JANELLE CARLEY"
"800221-JW"	"W - Spousal - Retirement Income Funds"	""	""	""	"221.19"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/04/2010"	""	"French"	"No"	"CARLEY JANELLE"	"Yes"	"01/01/2009"	""	"800221"	"n/a"	"10,377.91"	"JANELLE CARLEY"
"800221-NA"	"A - Cash"	""	""	""	"2,122.99"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/15/2010"	""	"French"	"No"	"CARLEY JANELLE"	"Yes"	"01/01/2009"	""	"800221"	"n/a"	"40,565.15"	"JANELLE CARLEY"
"800078-NA"	"A - Cash"	""	"(450) 555-0097"	"(450) 555-7078"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"11/26/2008"	""	"French"	"No"	"BABCOCK JANSEN"	"Yes"	"01/01/2009"	""	"800078"	"n/a"	"0.00"	"JANSEN BABCOCK"
"800078-OB"	"A - Cash"	""	"(450) 555-0097"	"(450) 555-7078"	"0.00"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"11/26/2008"	""	"French"	"No"	"BABCOCK JANSEN"	"Yes"	"01/01/2009"	""	"800078"	"n/a"	"0.00"	"JANSEN BABCOCK"
"800087-FS"	"S - Retirement Savings Plan"	""	"(450) 555-4064"	"(450) 555-0850"	"2,688.39"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"English"	"No"	"JOAN MCDOWALL"	"Yes"	"01/01/2009"	""	"800087"	"n/a"	"67,351.40"	"JOAN CAYLEY"
"800087-LV"	"N -"	""	"(450) 555-4064"	"(450) 555-0850"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"06/30/2009"	""	"English"	"No"	"JOAN MCDOWALL"	"Yes"	"01/01/2009"	""	"800087"	"n/a"	"0.00"	"JOAN CAYLEY"
"800087-NA"	"A - Cash"	""	"(450) 555-4064"	"(450) 555-0850"	"2,942.13"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/31/2009"	""	"English"	"No"	"JOAN MCDOWALL"	"Yes"	"01/01/2009"	""	"800087"	"n/a"	"36,158.45"	"JOAN CAYLEY"
"800087-RE"	"E - Margin Long"	""	"(450) 555-4064"	"(450) 555-0850"	"6,779.47"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"English"	"No"	"JOAN MCDOWALL"	"Yes"	"01/01/2009"	""	"800087"	"0.00"	"302,761.51"	"JOAN CAYLEY"
"800048-FS"	"S - Retirement Savings Plan"	""	"(450) 555-5398"	"(450) 555-5398"	"35,612.52"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"French"	"No"	"ALOURDES KADOTA"	"Yes"	"01/01/2009"	""	"800048"	"n/a"	"412,583.78"	"KADOTA ALOURDES"
"800048-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5398"	"(450) 555-5398"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/08/2010"	""	"French"	"No"	"ALOURDES KADOTA"	"Yes"	"01/01/2009"	""	"800048"	"n/a"	"10,954.25"	"KADOTA ALOURDES"
"800048-NA"	"A - Cash"	""	"(450) 555-5398"	"(450) 555-5398"	"(464.60)"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"01/25/2010"	""	"French"	"No"	"ALOURDES KADOTA"	"Yes"	"01/01/2009"	""	"800048"	"n/a"	"385,827.01"	"KADOTA ALOURDES"
"800077-NA"	"A - Cash"	""	"1234567890"	"9876543210"	"0.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"Yes"	""	""	""	"12/05/2003"	""	"French"	"No"	"MCKENZIE KING"	"Yes"	"01/01/2009"	""	"800077"	"n/a"	"0.00"	"KING MCKENZIE"
"800077-RE"	"E - Margin Long"	""	"1234567890"	"9876543210"	"5,903.59"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/04/2010"	""	"French"	"No"	"MCKENZIE KING"	"Yes"	"10/08/2003"	""	"800077"	"0.00"	"113,162.96"	"KING MCKENZIE"
"800077-SF"	"E - Margin Long"	""	"1234567890"	"9876543210"	"890.97"	"USD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/06/2010"	""	"French"	"No"	"MCKENZIE KING"	"Yes"	"10/16/2003"	""	"800077"	"0.00"	"53,713.37"	"KING MCKENZIE"
"800260-FS"	"S - Retirement Savings Plan"	""	"(450) 555-1222"	"(450) 555-2627"	"0.53"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"12/01/2009"	""	"English"	"No"	"CHARTRAND KINOSHITA"	"Yes"	"01/01/2009"	""	"800260"	"n/a"	"475,413.64"	"KINOSHITA CHARTR"
"800260-RE"	"E - Margin Long"	""	"(450) 555-1222"	"(450) 555-2627"	"562.29"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/15/2010"	""	"English"	"No"	"CHARTRAND KINOSHITA"	"Yes"	"01/01/2009"	""	"800260"	"0.00"	"241,364.98"	"KINOSHITA CHARTR"
"800079-GT"	"T - Retirement Income Funds"	""	"(450) 555-5954"	"(450) 555-2795"	"1,185.97"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/25/2010"	""	"French"	"No"	"AILLEEN KLINGMAN"	"Yes"	"01/01/2009"	""	"800079"	"n/a"	"155,340.61"	"KLINGMAN AILLEEN"
"800079-JW"	"W - Spousal - Retirement Income Funds"	""	"(450) 555-5954"	"(450) 555-2795"	"135.00"	"CAD"	""	""	""	"n/a"	"n/a"	""	""	"Open"	"No"	""	"No"	""	""	""	"01/20/2010"	""	"French"	"No"	"AILLEEN KLINGMAN"	"Yes"	"01/01/2009"	""	"800079"	"n/a"	"10,228.91"	"KLINGMAN AILLEEN"
